0,0.717548
1,0.715382
2,0.73922
3,0.725001
4,0.734902
5,0.738487
6,0.74183
7,0.738266
8,0.728287
9,0.722757
10,0.620877
11,0.680074
12,0.673816
13,0.715369
14,0.686708
15,0.742806
16,0.747721
17,0.740309
18,0.755359
19,0.624962
20,0.69077
21,0.726368
22,0.738039
23,0.740741
24,0.687539
25,0.659831
26,0.683408
27,0.633141
28,0.726888
29,0.778515
